Term	Translation	Source Language	Translation Language	Part of Speech	Field	English Definition	Source Language Definition	Target Language Definition	Sources	Usage Example	Notes	User	Display Author
Adverb	Adverbio	English	Spanish	noun	Syntax	A word of a class whose most characteristic role is traditionally that of modifying a verb or verb phrase: e.g. badly in He wrote it badly, where (in different accounts) it modifies either wrote or the phrase wrote it. One of the parts of speech established in antiquity. In the grammar of English and many similar languages, an adverb is effectively a word that modifies anything other than a noun.		Categoría léxica que modifica a un verbo u otro adverbio. En español, usando criterios distributivos, el adverbio es la parte de la oración que puede aparecer después de 'muy', pero que no puede variar en género o número. 'Rápidamente' es un adverbio porque en español podemos decir muy rápidamente pero no *muy rápidamentes o *muy rápidasmente.	Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press.|Book||Matthews, P. (2007). The Concise Oxford Dictionary of Linguistics. Oxford University Press.|Book	Los adverbios se caracterizan porque, al igual que los adjetivos, pueden ir precedidos por 'muy', pero a diferencia de ellos no pueden presentar variación de género y número (Huade et al. 2009, p. 127).		jvcasill	1
Aphasia	Afasia	English	Spanish	noun	General	Loss or impairment of speech resulting from brain disease or physical damage to the brain. The term is used generally for both partial and complete loss; it also covers an impaired ability to understand speech, not just to produce it. Hence aphasic, suffering from aphasia.		Cada uno de los trastornos del lenguaje que son el resultado de una lesión cerebral.	Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press.|Book||Matthews, P. (2007). The Concise Oxford Dictionary of Linguistics. Oxford University Press.|Book	Los trastornos del lenguaje que son el resultado de una lesión cerebral reciben el nombre genérico de afasias (Hualde et al. 2009, p. 32). 		jvcasill	1
Anomic aphasia	Afasia anómica	English	Spanish	noun	General	Impaired ability to name things. Sometimes the main feature of aphasia, in which case called anomic aphasia.		Trastorno del lenguaje que se caracteriza porque los pacientes que sufren de ella no pueden encontrar determinadas palabras que necesitan para expresar sus ideas y tienen que sustituirlas por gestos u oraciones complicadas.	Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press.|Book||Matthews, P. (2007). The Concise Oxford Dictionary of Linguistics. Oxford University Press.|Book	Otro tipo de afasia es la que denominamos anómica, que se caracteriza por el hecho de que los pacientes que sufren de ella no pueden encontrar determinadas palabras que necesitan para expresar sus ideas y tienen que sustituirlas por gestos u oraciones complicadas (Hualde et al. 2009, p. 33). 		jvcasill	1
Brocas aphasia	Afasia de Broca	English	Spanish	noun	General	A part of the brain included in a massive area of damage suffered by an aphasic patient of P. Broca in the mid-19th century. ‘Broca's aphasia’ is a form characterized by agrammatism and associated in clinical lore with lesions in this area.		Trastorno del lenguaje caracterizado por la dificultad en la producción de oraciones, originado por lesiones en un área determinada del lóbulo frontal del hemisferio izquierdo del cerebro que recibe el nombre de área de Broca.	Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press.|Book||Matthews, P. (2007). The Concise Oxford Dictionary of Linguistics. Oxford University Press.|Book	Los pacientes con afasia de Broca tienen enormes dificultades en la producción de oraciones, se detienen a menudo para encontrar la palabra adecuada, y muestran una ausencia de palabras con función claramente gramatical (aquéllas cuya función es marcar la concordancia entre el sujeto y el verbo, por ejemplo, o las preposiciones) (Hualde et al. 2009, p. 32). 		jvcasill	1
Wenickes aphasia	Afasia de Wernicke	English	Spanish	noun	General	A form of aphasia characterized by fluent but meaningless speech: ‘Wernicke's area’ is a part of the brain where lesions have been diagnosed as giving rise to it.		Trastorno del lenguaje caracterizado por la dificultad en comprender enunciados y la abundancia de errores semánticos y léxicos en la comprensión de oraciones, pero no en su producción. Este tipo de afasia estóoriginado por lesiones en la porción trasera del hemisferio izquierdo del cerebro que recibe el nombre de área de Wernicke.	Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press.|Book||Matthews, P. (2007). The Concise Oxford Dictionary of Linguistics. Oxford University Press.|Book	Este tipo de lesión recibe el nombre de afasia de Wernicke, en honor al neurólogo alemán Karl Wernicke, quien la describió por primera vez a fines del siglo xix (Hualde et al 2009, p. 33).		jvcasill	1
Global aphasia	Afasia global	English	Spanish	noun	General	A type of aphasia that is commonly associated with a large lesion in the perisylvian area of the frontal, temporal and parietal lobes of the brain causing an almost total reduction of all aspects of spoken and written language.		Afasia que se caracteriza por la pérdida total del uso del lenguaje. 	Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press.|Book	Las afasias que derivan en una pérdida total del uso de la lengua reciben el nombre de afasias globales, y en la mayoría de los casos, aunque los daños producidos afectan a otras funciones intelectuales, los pacientes que sufren dichas afasias retienen gran parte de las funciones cognitivas que tenían antes de presentarse la lesión (Hualde et al. 2009, p. 48).		jvcasill	1
Affix	Afijo	English	Spanish	noun	Morphology	Any element in the morphological structure of a word other than a root (1). E.g. unkinder consists of the root kind plus the affixes un- and -er. Hence affixation, for the process of adding an affix. Also affixal: thus un- in unkind is an affixal element, and the formation of unkind is that of an ‘affixal negative’. Affixes are traditionally divided into prefixes, which come before the form to which they are joined; suffixes, which come after; and infixes, which are inserted within it. Others commonly distinguished are circumfixes and superfixes.		Morfema que se añade a una raíz para formar otra palabra. 	Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press.|Book||Matthews, P. (2007). The Concise Oxford Dictionary of Linguistics. Oxford University Press.|Book	Un afijo es un elemento morfológico que aparece necesariamente unido o ligado a una raíz o a una unidad que contenga una raíz (Hualde et al. 2009, p. 144). 		jvcasill	1
Affricate	Africada	English	Spanish	noun	Phonetics	A stop consonant released with a fricative at the same place of articulation: e.g. [tʃ] (written ch) in chip.		Consonante que empieza con oclusión y termina con fricción. 	Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press.|Book||Matthews, P. (2007). The Concise Oxford Dictionary of Linguistics. Oxford University Press.|Book	En español tenemos la africada [ʧ] de chico, donde [ʃ] es el símbolo fonético que corresponde al sonido inicial del inglés 'ship'. De hecho, en algunos dialectos de la lengua española, como los hablados en Chile, Panamá, Sonora y Chihuahua (en el norte de México), y en partes de Andalucía, la africada [ʧ] tiende a reducirse a la fricativa [ʃ] (Hualde et al. 2009, p. 78).		jvcasill	1
Afrospanish	Afroespañol	English	Spanish	noun	Sociolinguistics	A variety of Spanish that contains features of some African languages.		Variedad de español que exhibe rasgos de lenguas africanas. 	Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press.|Book	Algunas poblaciones donde se encuentran variedades de afroespañol están en Villa Mella (la República Dominicana), Portobelo (Panamá), el Chocó (Colombia), la zona de Chincha (Perú), Barlovento (Venezuela), Esmeraldas (Ecuador) y la región de Yungas (Bolivia) (Lipski 1994, 2005, 2006, 2007) (as cited in Hualde et al. 2009, p. 415).		jvcasill	1
Agent	Agente	English	Spanish	noun	Syntax	Phrase etc. identifying an actor or actors performing some action. E.g. Mary is an agent in Mary went out or Mary made it.		Rol semántico que corresponde a quién inicia alguna acción, actuando por su propia voluntad; generalmente es el rol del sujeto de la oración (ej. Juan abrió la puerta). En las pasivas, sin embargo, el rol de agente se expresa por medio de un sintagma con la preposición por (ej. La puerta fue abierta por Juan).	Hualde, J. I., Olarrea, A., Escobar, A. M., & Travis, C. E. (2009). Introducción a la lingüística hispánica. Cambridge University Press.|Book||Matthews, P. (2007). The Concise Oxford Dictionary of Linguistics. Oxford University Press.|Book	Un buen ejemplo lo constituyen las oraciones activas y sus correspondientes pasivas (Juan golpeó a Pedro/Pedro fue golpeado por Juan), en las cuales la interpretación del agente de la acción y del objeto de la misma depende de factores gramaticales (la aparición de la preposición 'por', por ejemplo) (Hualde et al. 2009, p. 48).		jvcasill	1
